Nazov kraja,Nazov okresu,Pocet zapisanych volicov,Pocet vydanych obalok,Úcast volicov v %,Pocet odovzdanych obalok,Pocet zapisanych volicov,Pocet vydanych obalok,Úcast volicov v %,Pocet odovzdanych obalok
Bratislavsky kraj,Bratislava I, 39 187, 24 952,63.67, 24 931, 39 060, 24 191,61.93, 24 183
Bratislavsky kraj,Bratislava II, 104 219, 59 960,57.53, 59 933, 103 335, 56 075,54.26, 56 051
Bratislavsky kraj,Bratislava III, 59 733, 36 371,60.88, 36 355, 59 463, 34 609,58.20, 34 599
Bratislavsky kraj,Bratislava IV, 87 654, 52 700,60.12, 52 672, 86 877, 49 092,56.50, 49 085
Bratislavsky kraj,Bratislava V, 100 898, 58 381,57.86, 58 343, 100 942, 54 533,54.02, 54 505
Bratislavsky kraj,Malacky, 61 170, 31 588,51.63, 31 582, 61 406, 27 722,45.14, 27 718
Bratislavsky kraj,Pezinok, 54 304, 33 651,61.96, 33 643, 54 152, 30 243,55.84, 30 232
Bratislavsky kraj,Senec, 68 813, 41 533,60.35, 41 520, 69 056, 37 470,54.26, 37 463
Trnavsky kraj,Dunajska Streda, 101 705, 34 665,34.08, 34 651, 101 890, 31 137,30.55, 31 125
Trnavsky kraj,Galanta, 78 715, 34 512,43.84, 34 498, 78 671, 29 285,37.22, 29 282
Trnavsky kraj,Piestany, 53 072, 28 397,53.50, 28 384, 52 949, 24 575,46.41, 24 570
Trnavsky kraj,Senica, 50 209, 24 936,49.66, 24 936, 50 550, 21 842,43.20, 21 839
Trnavsky kraj,Skalica, 39 012, 19 943,51.12, 19 928, 39 187, 17 072,43.56, 17 072
Trnavsky kraj,Hlohovec, 36 908, 19 054,51.62, 19 044, 36 809, 15 838,43.02, 15 836
Trnavsky kraj,Trnava, 107 925, 59 033,54.69, 59 009, 107 784, 51 122,47.43, 51 119
Trenciansky kraj,Banovce nad Bebravou, 30 002, 16 100,53.66, 16 096, 29 996, 13 426,44.75, 13 423
Trenciansky kraj,Myjava, 22 278, 11 398,51.16, 11 398, 22 379, 10 375,46.36, 10 375
Trenciansky kraj,Nove Mesto nad Vahom, 51 365, 27 802,54.12, 27 799, 51 362, 24 127,46.97, 24 124
Trenciansky kraj,Povazska Bystrica, 51 662, 27 227,52.70, 27 222, 51 636, 22 668,43.89, 22 664
Trenciansky kraj,Puchov, 36 947, 19 277,52.17, 19 271, 36 997, 16 538,44.70, 16 533
Trenciansky kraj,Partizanske, 37 648, 19 383,51.48, 19 377, 37 590, 16 009,42.58, 16 007
Trenciansky kraj,Prievidza, 112 222, 59 629,53.13, 59 604, 111 898, 50 107,44.77, 50 102
Trenciansky kraj,Ilava, 48 987, 25 986,53.04, 25 973, 48 767, 22 165,45.45, 22 160
Trenciansky kraj,Trencin, 93 833, 52 720,56.18, 52 702, 94 329, 46 861,49.67, 46 857
Nitriansky kraj,Komarno, 84 974, 23 665,27.84, 23 661, 84 973, 20 775,24.44, 20 775
Nitriansky kraj,Levice, 92 987, 41 006,44.09, 41 003, 92 720, 34 558,37.27, 34 556
Nitriansky kraj,Nitra, 135 864, 70 015,51.53, 70 002, 135 710, 59 884,44.12, 59 881
Nitriansky kraj,Zlate Moravce, 34 536, 17 955,51.98, 17 951, 34 522, 15 289,44.28, 15 289
Nitriansky kraj,Nove Zamky, 117 262, 47 668,40.65, 47 659, 117 209, 41 169,35.12, 41 166
Nitriansky kraj,Sala, 42 856, 17 624,41.12, 17 617, 42 851, 15 438,36.02, 15 436
Nitriansky kraj,Topolcany, 59 823, 29 988,50.12, 29 984, 59 842, 25 526,42.65, 25 525
Zilinsky kraj,Cadca, 72 987, 33 978,46.55, 33 973, 72 943, 28 232,38.70, 28 228
Zilinsky kraj,Dolny Kubin, 31 400, 17 558,55.91, 17 550, 31 272, 14 257,45.59, 14 255
Zilinsky kraj,Liptovsky Mikulas, 61 172, 33 067,54.05, 33 064, 60 745, 28 479,46.88, 28 474
Zilinsky kraj,Martin, 78 588, 43 275,55.06, 43 270, 78 449, 36 622,46.68, 36 622
Zilinsky kraj,Turcianske Teplice, 13 619, 7 375,54.15, 7 375, 13 714, 6 329,46.14, 6 328
Zilinsky kraj,Namestovo, 46 005, 24 128,52.44, 24 121, 45 911, 17 319,37.72, 17 315
Zilinsky kraj,Tvrdosin, 28 265, 16 331,57.77, 16 325, 28 224, 12 836,45.47, 12 834
Zilinsky kraj,Ruzomberok, 47 451, 26 145,55.09, 26 125, 47 390, 21 030,44.37, 21 026
Zilinsky kraj,Bytca, 25 066, 12 629,50.38, 12 627, 25 048, 10 268,40.99, 10 266
Zilinsky kraj,Kysucke Nove Mesto, 26 740, 14 288,53.43, 14 281, 26 735, 11 702,43.77, 11 700
Zilinsky kraj,Zilina, 131 245, 72 920,55.56, 72 905, 131 108, 62 153,47.40, 62 145
Banskobystricky kraj,Banska Bystrica, 91 492, 50 555,55.25, 50 536, 90 805, 43 677,48.09, 43 661
Banskobystricky kraj,Brezno, 49 941, 22 943,45.94, 22 936, 50 146, 19 337,38.56, 19 333
Banskobystricky kraj,Lucenec, 57 531, 21 321,37.06, 21 317, 57 652, 17 995,31.21, 17 992
Banskobystricky kraj,Poltar, 17 408, 7 960,45.72, 7 957, 17 385, 6 321,36.35, 6 320
Banskobystricky kraj,Revuca, 30 705, 10 583,34.46, 10 583, 30 629, 8 431,27.52, 8 429
Banskobystricky kraj,Rimavska Sobota, 64 251, 21 671,33.72, 21 670, 63 417, 16 981,26.77, 16 980
Banskobystricky kraj,Velky Krtis, 35 225, 14 084,39.98, 14 081, 35 152, 11 320,32.20, 11 320
Banskobystricky kraj,Detva, 26 323, 12 684,48.18, 12 684, 26 317, 10 403,39.52, 10 401
Banskobystricky kraj,Krupina, 17 836, 9 439,52.92, 9 431, 17 832, 7 384,41.40, 7 381
Banskobystricky kraj,Zvolen, 55 618, 29 270,52.62, 29 265, 55 544, 25 285,45.52, 25 282
Banskobystricky kraj,Banska Stiavnica, 13 214, 6 762,51.17, 6 762, 13 254, 5 695,42.96, 5 693
Banskobystricky kraj,Zarnovica, 21 308, 10 798,50.67, 10 787, 21 365, 8 754,40.97, 8 754
Banskobystricky kraj,Ziar nad Hronom, 37 923, 19 387,51.12, 19 377, 37 872, 15 962,42.14, 15 960
Presovsky kraj,Bardejov, 59 910, 28 536,47.63, 28 527, 59 770, 24 056,40.24, 24 055
Presovsky kraj,Humenne, 50 160, 22 381,44.61, 22 378, 49 988, 18 845,37.69, 18 840
Presovsky kraj,Medzilaborce, 9 265, 3 810,41.12, 3 810, 9 339, 3 351,35.88, 3 348
Presovsky kraj,Snina, 29 508, 11 195,37.93, 11 190, 29 568, 9 637,32.59, 9 637
Presovsky kraj,Kezmarok, 52 474, 22 579,43.02, 22 575, 52 236, 16 606,31.79, 16 604
Presovsky kraj,Levoca, 25 706, 11 625,45.22, 11 623, 25 596, 9 392,36.69, 9 392
Presovsky kraj,Poprad, 84 173, 42 696,50.72, 42 679, 83 073, 34 834,41.93, 34 828
Presovsky kraj,Presov, 133 786, 68 121,50.91, 68 108, 133 071, 57 634,43.31, 57 627
Presovsky kraj,Sabinov, 43 703, 19 896,45.52, 19 894, 43 559, 16 174,37.13, 16 174
Presovsky kraj,Stara Ľubovna, 39 869, 17 718,44.44, 17 713, 39 741, 14 470,36.41, 14 466
Presovsky kraj,Stropkov, 16 141, 7 395,45.81, 7 395, 16 102, 6 478,40.23, 6 478
Presovsky kraj,Svidnik, 25 789, 11 655,45.19, 11 655, 25 608, 9 744,38.05, 9 744
Presovsky kraj,Vranov nad Toplou, 60 693, 24 673,40.65, 24 664, 60 713, 20 190,33.25, 20 178
Kosicky kraj,Kosice I, 54 540, 27 548,50.50, 27 541, 54 133, 24 320,44.92, 24 315
Kosicky kraj,Kosice II, 65 197, 30 123,46.20, 30 113, 64 778, 26 481,40.87, 26 476
Kosicky kraj,Kosice III, 23 991, 10 956,45.66, 10 951, 23 883, 9 661,40.45, 9 661
Kosicky kraj,Kosice IV, 47 660, 23 514,49.33, 23 509, 47 452, 20 897,44.03, 20 896
Kosicky kraj,Kosice - okolie, 96 611, 41 016,42.45, 41 002, 96 687, 33 640,34.79, 33 635
Kosicky kraj,Michalovce, 86 702, 32 803,37.83, 32 800, 85 994, 27 176,31.60, 27 174
Kosicky kraj,Sobrance, 17 913, 7 700,42.98, 7 699, 17 895, 6 457,36.08, 6 456
Kosicky kraj,Roznava, 47 830, 18 027,37.68, 18 025, 47 786, 14 780,30.92, 14 780
Kosicky kraj,Gelnica, 23 915, 9 225,38.57, 9 221, 23 877, 7 371,30.87, 7 371
Kosicky kraj,Spisska Nova Ves, 73 532, 31 943,43.44, 31 942, 73 318, 26 107,35.60, 26 106
Kosicky kraj,Trebisov, 81 882, 27 454,33.52, 27 448, 81 895, 22 623,27.62, 22 623
